name_1,name_2
hairpin-2_mp-ff_Agogo_beat4-6_rvb2_off0,hairpin-2_mp-ff_Agogo_beat4-6_rvb2_off431
hairpin-1_mp-ff_Agogo_beat4-7_rvb2_off0,hairpin-1_mp-ff_Agogo_beat4-7_rvb2_off431
hairpin-1_mp-ff_Agogo_beat4-7_rvb2_off0,hairpin-1_mp-ff_Agogo_beat4-7_rvb2_off264
revhairpin-3_pp-mf_MelodicTom_beat4-7_rvb2_off0,revhairpin-3_pp-mf_MelodicTom_beat4-7_rvb2_off431
revhairpin-3_pp-mf_MelodicTom_beat4-7_rvb2_off0,revhairpin-3_pp-mf_MelodicTom_beat4-7_rvb2_off264
subf-3_mp-f_TaikoDrum_beat4-3_rvb1_off0,subf-3_mp-f_TaikoDrum_beat4-3_rvb1_off264
subf-3_mp-f_TaikoDrum_beat4-3_rvb1_off0,subf-3_mp-f_TaikoDrum_beat4-3_rvb1_off431
flat_mf-mf_TaikoDrum_beat4-7_rvb0_off264,flat_mf-mf_TaikoDrum_beat4-7_rvb0_off431
subf-1_mp-ff_Woodblock_beat4-7_rvb2_off264,subf-1_mp-ff_Woodblock_beat4-7_rvb2_off431
subf-1_mp-ff_Woodblock_beat4-7_rvb2_off264,subf-1_mp-ff_Woodblock_beat4-7_rvb2_off0
subf-1_mp-mf_Agogo_beat4-7_rvb0_off431,subf-1_mp-mf_Agogo_beat4-7_rvb0_off0
subf-1_mp-mf_Agogo_beat4-7_rvb0_off431,subf-1_mp-mf_Agogo_beat4-7_rvb0_off264
revhairpin-2_p-mf_DSnareDrum1_beat4-4_rvb1_off431,revhairpin-2_p-mf_DSnareDrum1_beat4-4_rvb1_off0
hairpin-2_p-ff_TaikoDrum_beat4-4_rvb0_off264,hairpin-2_p-ff_TaikoDrum_beat4-4_rvb0_off431
hairpin-2_p-ff_TaikoDrum_beat4-4_rvb0_off264,hairpin-2_p-ff_TaikoDrum_beat4-4_rvb0_off0
subf-1_p-ff_MelodicTom_beat4-2_rvb1_off0,subf-1_p-ff_MelodicTom_beat4-2_rvb1_off264
subf-1_p-ff_MelodicTom_beat4-2_rvb1_off0,subf-1_p-ff_MelodicTom_beat4-2_rvb1_off431
subf-3_mp-f_Agogo_beat4-4_rvb2_off0,subf-3_mp-f_Agogo_beat4-4_rvb2_off431
subf-3_mp-f_Agogo_beat4-4_rvb2_off0,subf-3_mp-f_Agogo_beat4-4_rvb2_off264
revhairpin-1_pp-ff_Woodblock_beat4-2_rvb2_off264,revhairpin-1_pp-ff_Woodblock_beat4-2_rvb2_off0
revhairpin-1_pp-ff_Woodblock_beat4-2_rvb2_off264,revhairpin-1_pp-ff_Woodblock_beat4-2_rvb2_off431
decresc_mp-mf_Woodblock_beat4-5_rvb2_off264,decresc_mp-mf_Woodblock_beat4-5_rvb2_off0
decresc_mp-mf_Woodblock_beat4-5_rvb2_off264,decresc_mp-mf_Woodblock_beat4-5_rvb2_off431
hairpin-1_p-f_TaikoDrum_beat4-4_rvb1_off0,hairpin-1_p-f_TaikoDrum_beat4-4_rvb1_off431
hairpin-1_p-f_TaikoDrum_beat4-4_rvb1_off0,hairpin-1_p-f_TaikoDrum_beat4-4_rvb1_off264
