name_1,name_2
DSnareDrum1_TaikoDrum-bpm_60-rvb_1-offms_204-5a8,DSnareDrum1_TaikoDrum-bpm_60-rvb_1-offms_1067-5a8
DSnareDrum1_TaikoDrum-bpm_60-rvb_1-offms_204-5a8,DSnareDrum1_TaikoDrum-bpm_60-rvb_1-offms_700-5a8
Agogo_MelodicTom-bpm_180-rvb_0-offms_120-5a11,Agogo_MelodicTom-bpm_180-rvb_0-offms_204-5a11
Agogo_MelodicTom-bpm_180-rvb_0-offms_120-5a11,Agogo_MelodicTom-bpm_180-rvb_0-offms_1067-5a11
Agogo_MelodicTom-bpm_180-rvb_0-offms_120-5a11,Agogo_MelodicTom-bpm_180-rvb_0-offms_700-5a11
TaikoDrum_MelodicTom-bpm_60-rvb_2-offms_1067-10a11,TaikoDrum_MelodicTom-bpm_60-rvb_2-offms_0-10a11
TaikoDrum_MelodicTom-bpm_60-rvb_2-offms_1067-10a11,TaikoDrum_MelodicTom-bpm_60-rvb_2-offms_120-10a11
TaikoDrum_MelodicTom-bpm_60-rvb_2-offms_1067-10a11,TaikoDrum_MelodicTom-bpm_60-rvb_2-offms_204-10a11
Agogo_MelodicTom-bpm_120-rvb_0-offms_0-8a9,Agogo_MelodicTom-bpm_120-rvb_0-offms_120-8a9
Agogo_MelodicTom-bpm_120-rvb_0-offms_0-8a9,Agogo_MelodicTom-bpm_120-rvb_0-offms_204-8a9
Agogo_MelodicTom-bpm_120-rvb_0-offms_0-8a9,Agogo_MelodicTom-bpm_120-rvb_0-offms_700-8a9
Agogo_MelodicTom-bpm_120-rvb_0-offms_0-8a9,Agogo_MelodicTom-bpm_120-rvb_0-offms_1067-8a9
Woodblock_MelodicTom-bpm_60-rvb_1-offms_204-5a11,Woodblock_MelodicTom-bpm_60-rvb_1-offms_0-5a11
Woodblock_MelodicTom-bpm_60-rvb_1-offms_204-5a11,Woodblock_MelodicTom-bpm_60-rvb_1-offms_1067-5a11
Woodblock_MelodicTom-bpm_60-rvb_1-offms_204-5a11,Woodblock_MelodicTom-bpm_60-rvb_1-offms_700-5a11
Woodblock_MelodicTom-bpm_60-rvb_1-offms_204-5a11,Woodblock_MelodicTom-bpm_60-rvb_1-offms_120-5a11
Agogo_TaikoDrum-bpm_120-rvb_2-offms_204-7a10,Agogo_TaikoDrum-bpm_120-rvb_2-offms_700-7a10
Agogo_TaikoDrum-bpm_120-rvb_2-offms_204-7a10,Agogo_TaikoDrum-bpm_120-rvb_2-offms_0-7a10
Agogo_TaikoDrum-bpm_120-rvb_2-offms_204-7a10,Agogo_TaikoDrum-bpm_120-rvb_2-offms_1067-7a10
Agogo_TaikoDrum-bpm_120-rvb_2-offms_204-7a10,Agogo_TaikoDrum-bpm_120-rvb_2-offms_120-7a10
DSnareDrum1_MelodicTom-bpm_60-rvb_2-offms_120-5a11,DSnareDrum1_MelodicTom-bpm_60-rvb_2-offms_204-5a11
DSnareDrum1_MelodicTom-bpm_60-rvb_2-offms_120-5a11,DSnareDrum1_MelodicTom-bpm_60-rvb_2-offms_700-5a11
